Plant Name,Growth,Soil,Sunlight,Watering,Fertilization Type
Aloe Vera,slow,sandy,indirect sunlight,Water weekly,Balanced
Basil,fast,well-drained,full sunlight,Keep soil evenly moist,Organic
Snake Plant,slow,well-drained,indirect sunlight,Water when soil is dry,No
Lavender,moderate,sandy,full sunlight,Let soil dry between watering,No
Cactus,slow,sandy,full sunlight,Let soil dry between watering,Low-nitrogen
Rosemary,moderate,well-drained,full sunlight,Let soil dry between watering,No
Mint,fast,well-drained,partial sunlight,Keep soil consistently moist,Balanced
Thyme,moderate,sandy,full sunlight,Let soil dry between watering,Organic
Peace Lily,moderate,well-drained,indirect sunlight,Water when soil feels dry,Balanced
Spider Plant,moderate,loamy,indirect sunlight,Keep soil slightly moist,Balanced
Parsley,moderate,well-drained,partial sunlight,Keep soil consistently moist,Organic
Fern (Boston),moderate,well-drained,indirect sunlight,Water when topsoil is dry,Organic
Bamboo Palm,slow,well-drained,indirect sunlight,Water weekly,Balanced
Money Plant,moderate,well-drained,indirect sunlight,Water when topsoil is dry,Balanced
Jade Plant,slow,sandy,indirect sunlight,Water when soil is dry,Low-nitrogen
Orchids,moderate,well-drained,indirect sunlight,Water weekly,Balanced
Cilantro,fast,well-drained,full sunlight,Keep soil moist,Balanced
Dill,moderate,sandy,full sunlight,Keep soil evenly moist,Organic
Chives,fast,well-drained,full sunlight,Keep soil moist,Balanced
Oregano,moderate,sandy,full sunlight,Water when topsoil is dry,Organic
Pothos,fast,well-drained,indirect sunlight,Water when soil is dry,Balanced
Rubber Plant,moderate,well-drained,indirect sunlight,Water when soil feels dry,Balanced
Bougainvillea,fast,well-drained,full sunlight,Water when soil is dry,Low-nitrogen
Fiddle Leaf Fig,slow,well-drained,indirect sunlight,Water when topsoil is dry,Balanced
Sage,moderate,well-drained,full sunlight,Let soil dry between watering,Organic
Cosmos,fast,sandy,full sunlight,Water when soil feels dry,Organic
Geranium,moderate,well-drained,full sunlight,Water when soil is dry,Balanced
Marigold,fast,well-drained,full sunlight,Water when soil is dry,Balanced
Zinnia,fast,well-drained,full sunlight,Water weekly,Balanced
Hibiscus,moderate,well-drained,full sunlight,Water when topsoil is dry,Balanced
Begonia,moderate,well-drained,indirect sunlight,Keep soil moist,Organic
